sample	HellmannSL_2020__ERS3651762	HellmannSL_2020__ERS3651761	HellmannSL_2020__ERS3651760	HellmannSL_2020__ERS3651758	HellmannSL_2020__ERS3651757	HellmannSL_2020__ERS3651755
macrocategory	food	food	food	food	food	food
category	fermented_meat	fermented_meat	fermented_meat	fermented_meat	fermented_meat	fermented_meat
type	cattle_pig_chicken_and_turkey_sausage	cattle_pig_chicken_and_turkey_sausage	cattle_pig_chicken_and_turkey_sausage	cattle_pig_chicken_and_turkey_sausage	cattle_pig_chicken_and_turkey_sausage	cattle_pig_chicken_and_turkey_sausage
subtype	calibraton_sausage_containing_cattle_pig_chicken_and_turkey_meat	calibraton_sausage_containing_cattle_pig_chicken_and_turkey_meat	calibraton_sausage_containing_cattle_pig_chicken_and_turkey_meat	calibraton_sausage_containing_cattle_pig_chicken_and_turkey_meat	calibraton_sausage_containing_cattle_pig_chicken_and_turkey_meat	calibraton_sausage_containing_cattle_pig_chicken_and_turkey_meat
country	CHE	CHE	CHE	CHE	CHE	CHE
source	public	public	public	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Brochothrix|s__Brochothrix_thermosphacta|t__SGB7517	98.11562	100	100	99.6714	48.88742	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium|s__Carnobacterium_divergens|t__SGB7903	1.88438	0	0	0.3286	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_alimentarius|t__SGB10455	0	0	0	0	0.0	100
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_immobilis|t__SGB10459	0	0	0	0	35.50781	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_fragi|t__SGB12106	0	0	0	0	12.51976	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_taetrolens|t__SGB12103	0	0	0	0	3.08501	0
