	WalshAM_2016	WalshAM_2016	WalshAM_2016	WalshAM_2016	WalshAM_2016	WalshAM_2016	WalshAM_2016	WalshAM_2016	WalshAM_2016	WalshAM_2016	WalshAM_2016	WalshAM_2016	WalshAM_2016	WalshAM_2016	WalshAM_2016
sample	WalshAM_2016__ERS1354635	WalshAM_2016__ERS1354636	WalshAM_2016__ERS1354637	WalshAM_2016__ERS1354638	WalshAM_2016__ERS1354641	WalshAM_2016__ERS1354642	WalshAM_2016__ERS1354643	WalshAM_2016__ERS1354644	WalshAM_2016__ERS1354645	WalshAM_2016__ERS1354646	WalshAM_2016__ERS1354647	WalshAM_2016__ERS1354648	WalshAM_2016__ERS1354649	WalshAM_2016__ERS1354651	WalshAM_2016__ERS1354652
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food
category	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy
type	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir
subtype	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir
country	GBR	FRA	IRL	GBR	FRA	IRL	GBR	FRA	IRL	GBR	FRA	IRL	GBR	FRA	IRL
source	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	40.54262	54.67128	26.74447	75.14718	42.56173	18.3178	36.37864	0.0	0.0	0.06788	35.05653	32.95777	67.79844	52.03556	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_helveticus|t__SGB7048	0.90963	6.64842	0.0	2.72197	6.9605	0.0	7.6606	0.0	0.0	0.0	5.871	0.0	9.57136	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_mongoliense|t__SGB17228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32188	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_freudenreichii|t__SGB15904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20212	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_fabarum|t__SGB1190	0.0	34.41937	4.0283	8.43882	46.09555	46.36628	20.44064	0.0	0.0	0.0	55.59477	48.71178	11.33773	8.35676	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_kefiranofaciens|t__SGB7046	58.54775	4.26093	69.22723	13.19695	4.38222	34.92813	35.52012	95.56617	71.36446	88.05176	3.47771	18.09148	11.29247	39.60768	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_kefiri|t__SGB7221	0.0	0.0	0.0	0.0	0.0	0.38779	0.0	4.23171	28.51053	11.37363	0.0	0.23896	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_parakefiri|t__SGB7222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12501	0.18485	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_qingdaonensis|t__SGB12266	0.0	0.0	0.0	0.49509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
